orderNumber, itemNumber, product, sourceLocation, destinationLocation, mot, quantity, uom, category, categoryDescription, startDate, endDate, destDaySupp, destStockOH, abcClass, week, approveLoad, reasonCode
2718302015,10,3800021962,8717,8759,ZTL,240,CS,EF,Deployment: Purchase requisition,20251020,20251021,0,0,ZNL  ,D       ,,
2718818233,10,3800021962,8717,8759,ZTL,1200,CS,EF,Deployment: Purchase requisition,20251201,20251202,158,3080,CS   ,D       ,,
2720766857,10,3800021962,8717,8759,ZTL,480,CS,EF,Deployment: Purchase requisition,20251124,20251125,0,0,CS   ,D       ,,
2720827047,10,3800021962,8717,8759,ZTL,960,CS,EF,Deployment: Purchase requisition,20251024,20251027,0,0,ZNL  ,D       ,,
2721247513,1,3800010718,694,3491,ZIM,5400,CS,BF,Order item schedule line,20251010,20251016,0,0,,,,
2721357355,10,3800021962,8717,8759,ZTL,240,CS,EF,Deployment: Purchase requisition,20251024,20251027,0,0,ZNL  ,D       ,,
2721366161,1,170011994,693,8759,ZTL,14850,LB,BF,Order item schedule line,20251024,20251027,15,147893,LB   ,        ,,
2721702987,10,4119211184,3401,3405,ZTL,48,CS,EF,Deployment: Purchase requisition,20251203,20251205,0,0,ZNL  ,DP      ,,
2721707239,10,1862711694,3426,3427,ZTL,8,CS,EF,Deployment: Purchase requisition,20260107,20260108,0,0,,,,
2721707538,10,1862711694,3412,3491,ZTL,8,CS,EF,Deployment: Purchase requisition,20260107,20260109,0,0,ZNK  ,DP      ,,
2721708474,10,4119211184,3412,3491,ZTL,168,CS,EF,Deployment: Purchase requisition,20260107,20260109,0,0,ZNK  ,DP      ,,
2721708492,10,4119211409,3422,3488,ZTL,36,HUL,EF,Deployment: Purchase requisition,20251024,20251025,26,1543.566,ZNK  ,DP      ,,
2721708493,10,4119211409,3422,3488,ZTL,10,HUL,EF,Deployment: Purchase requisition,20251117,20251118,0,0,ZNL  ,DP      ,,
2721709150,10,4119211184,3426,3427,ZTL,8,CS,EF,Deployment: Purchase requisition,20260107,20260108,0,0,,,,
2721710441,10,4119211184,3422,3488,ZTL,8,CS,EF,Deployment: Purchase requisition,20260107,20260108,0,0,CS   ,DP      ,,
2721712615,10,4119211733,3412,3491,ZTL,356,CS,EF,Deployment: Purchase requisition,20260107,20260109,0,0,ZNL  ,B       ,,
2721712616,10,4119211733,3412,3491,ZTL,356,CS,EF,Deployment: Purchase requisition,20260114,20260116,0,0,ZNL  ,B       ,,
2721712617,10,4119211732,3412,3491,ZTL,368,CS,EF,Deployment: Purchase requisition,20260107,20260109,0,0,UL   ,B       ,,
2721712618,10,4119211732,3412,3491,ZTL,368,CS,EF,Deployment: Purchase requisition,20260114,20260116,0,0,ZNL  ,B       ,,
2721712624,10,4119211776,3412,3491,ZTL,2769,CS,EF,Deployment: Purchase requisition,20260114,20260116,0,0,ZNL  ,B       ,,
2721712891,10,4119211184,3430,3400,ZTL,8,CS,EF,Deployment: Purchase requisition,20260107,20260109,0,0,ZNL  ,DP      ,,
2721715359,10,4119211776,3401,3405,ZTL,5305,CS,EF,Deployment: Purchase requisition,20260114,20260116,0,0,UL   ,B       ,,
2721715646,10,4119211733,3401,3405,ZTL,778,CS,EF,Deployment: Purchase requisition,20260107,20260109,0,0,UL   ,B       ,,
2721715647,10,4119211733,3401,3405,ZTL,778,CS,EF,Deployment: Purchase requisition,20260114,20260116,0,0,ZNK  ,B       ,,
2721715649,10,4119211732,3401,3405,ZTL,802,CS,EF,Deployment: Purchase requisition,20260107,20260109,0,0,CS   ,B       ,,
2721715650,10,4119211732,3401,3405,ZTL,802,CS,EF,Deployment: Purchase requisition,20260114,20260116,0,0,CS   ,B       ,,
2721715704,10,4119211733,3422,3488,ZTL,180,CS,EF,Deployment: Purchase requisition,20260107,20260108,0,0,ZNL  ,B       ,,
2721715705,10,4119211733,3422,3488,ZTL,180,CS,EF,Deployment: Purchase requisition,20260114,20260115,0,0,CS   ,B       ,,
2721715707,10,4119211732,3422,3488,ZTL,222,CS,EF,Deployment: Purchase requisition,20260107,20260108,0,0,ZNK  ,B       ,,
2721715708,10,4119211732,3422,3488,ZTL,222,CS,EF,Deployment: Purchase requisition,20260114,20260115,0,0,ZNL  ,B       ,,
2721715884,10,4119211776,3422,3488,ZTL,367,CS,EF,Deployment: Purchase requisition,20260114,20260115,0,0,ZNK  ,B       ,,
2721715957,10,4119211731,3426,3427,ZTL,256,CS,EF,Deployment: Purchase requisition,20260114,20260115,0,0,,,,
2721715958,10,4119211733,3426,3427,ZTL,80,CS,EF,Deployment: Purchase requisition,20260107,20260108,0,0,,,,
2721715959,10,4119211733,3426,3427,ZTL,80,CS,EF,Deployment: Purchase requisition,20260114,20260115,0,0,,,,
2721715960,10,4119211732,3426,3427,ZTL,84,CS,EF,Deployment: Purchase requisition,20260107,20260108,0,0,,,,
2721715961,10,4119211732,3426,3427,ZTL,84,CS,EF,Deployment: Purchase requisition,20260114,20260115,0,0,,,,
2721716121,10,4119211776,3426,3427,ZTL,5862,CS,EF,Deployment: Purchase requisition,20260114,20260115,0,0,,,,
2721716124,10,4119211776,3430,3400,ZTL,3697,CS,EF,Deployment: Purchase requisition,20260114,20260116,0,0,ZNK  ,B       ,,
2721716128,10,4119211733,3430,3400,ZTL,681,CS,EF,Deployment: Purchase requisition,20260107,20260109,0,0,ZNL  ,B       ,,
2721716129,10,4119211733,3430,3400,ZTL,681,CS,EF,Deployment: Purchase requisition,20260114,20260116,0,0,CS   ,B       ,,
2721716130,10,4119211732,3430,3400,ZTL,832,CS,EF,Deployment: Purchase requisition,20260107,20260109,0,0,CS   ,B       ,,
2721716131,10,4119211732,3430,3400,ZTL,832,CS,EF,Deployment: Purchase requisition,20260114,20260116,0,0,UL   ,B       ,,
2721728128,10,3800031474,617,3460,ZTL,360,CS,EF,Deployment: Purchase requisition,20251130,20251202,0,0,,,,
2721728129,10,3800031427,8857,3400,ZIM,3600,CS,EF,Deployment: Purchase requisition,20251031,20251106,9,4246.83,ZNK  ,D       ,,
2721728130,10,4119211792,617,3460,ZTL,8,CS,EF,Deployment: Purchase requisition,20260118,20260120,0,0,,,,
2721728131,10,4119211792,617,3460,ZTL,216,CS,EF,Deployment: Purchase requisition,20251228,20251230,0,0,,,,
2721728132,10,3800031362,8759,3400,ZTL,2880,CS,EF,Deployment: Purchase requisition,20251107,20251110,14,17324.732,ZNL  ,AA      ,,
2721728133,10,3800031362,8759,3400,ZTL,4320,CS,EF,Deployment: Purchase requisition,20251024,20251027,5,1424,CS   ,AA      ,,
2721728139,10,1862711679,8793,3400,ZTL,7920,CS,EF,Deployment: Purchase requisition,20251118,20251121,0,0,UL   ,B       ,,
2721728140,10,1862711681,8793,3400,ZTL,7920,CS,EF,Deployment: Purchase requisition,20251122,20251125,0,0,ZNL  ,B       ,,
2721728141,10,1862711717,8793,3400,ZTL,750,CS,EF,Deployment: Purchase requisition,20251122,20251125,0,0,ZNL  ,B       ,,
2721728142,10,1862711718,8793,3400,ZTL,750,CS,EF,Deployment: Purchase requisition,20251118,20251121,0,0,CS   ,B       ,,
2721728143,10,4119211448,8793,3400,ZTL,2875,CS,EF,Deployment: Purchase requisition,20251111,20251114,0,0,UL   ,B       ,,
2721728144,10,4119211445,8793,3400,ZTL,3625,CS,EF,Deployment: Purchase requisition,20251104,20251107,106,33,UL   ,B       ,,
2721728145,10,4119211445,8793,3400,ZTL,26.611,CS,EF,Deployment: Purchase requisition,20260117,20260120,35,2829.474,ZNL  ,B       ,,
2721728146,10,1862711688,8793,3400,ZTL,25200,CS,EF,Deployment: Purchase requisition,20251206,20251209,0,0,UL   ,B       ,,
2721728147,10,3800004991,3405,3400,ZIM,80,CS,EF,Deployment: Purchase requisition,20251023,20251029,7,146,CS   ,D       ,,
2721728148,10,3800004991,3405,3400,ZIM,80,CS,EF,Deployment: Purchase requisition,20251027,20251102,39,5600.7,ZNK  ,D       ,,
2721728149,10,3800004991,3405,3400,ZIM,80,CS,EF,Deployment: Purchase requisition,20251031,20251106,39,5600.7,ZNK  ,D       ,,
2721728150,10,3800004991,3405,3400,ZIM,80,CS,EF,Deployment: Purchase requisition,20251103,20251109,32,738,CS   ,D       ,,
2721728151,10,3800004991,3405,3400,ZIM,80,CS,EF,Deployment: Purchase requisition,20251106,20251112,32,738,CS   ,D       ,,
2721728152,10,3800004991,3405,3400,ZIM,80,CS,EF,Deployment: Purchase requisition,20251109,20251115,22,6748,ZNL  ,D       ,,
2721728153,10,3800004991,3405,3400,ZIM,80,CS,EF,Deployment: Purchase requisition,20251113,20251119,22,6748,ZNL  ,D       ,,
2721728154,10,3800004991,3405,3400,ZIM,160,CS,EF,Deployment: Purchase requisition,20251117,20251123,17,2235.2,ZNK  ,D       ,,
2721728155,10,3800004991,3405,3400,ZIM,160,CS,EF,Deployment: Purchase requisition,20251130,20251206,1,152.4,ZNK  ,D       ,,
2721728156,10,3800004991,3405,3400,ZIM,80,CS,EF,Deployment: Purchase requisition,20251207,20251213,1,196.85,ZNK  ,D       ,,
2721728157,10,3800004991,3405,3400,ZIM,240,CS,EF,Deployment: Purchase requisition,20251214,20251220,0,7,CS   ,D       ,,
2721728158,10,3800004991,3405,3400,ZIM,160,CS,EF,Deployment: Purchase requisition,20251221,20251227,0,0,ZNL  ,D       ,,
2721728159,10,3800004991,3405,3400,ZIM,160,CS,EF,Deployment: Purchase requisition,20251228,20260103,2,273.05,ZNK  ,D       ,,
2721728160,10,3800004991,3405,3400,ZIM,160,CS,EF,Deployment: Purchase requisition,20260104,20260110,0,0,CS   ,D       ,,
2721728161,10,3800004991,3405,3400,ZIM,80,CS,EF,Deployment: Purchase requisition,20260111,20260117,1,0.55,UL   ,D       ,,
2721728162,10,3800004991,3405,3400,ZIM,193.117,CS,EF,Deployment: Purchase requisition,20260118,20260124,3,323.85,ZNK  ,D       ,,
2721728163,10,3800004991,3405,3400,ZIM,123.733,CS,EF,Deployment: Purchase requisition,20260125,20260131,3,406.4,ZNK  ,D       ,,
2721728164,10,3800004991,3405,3400,ZIM,135.683,CS,EF,Deployment: Purchase requisition,20260201,20260207,3,1.6,UL   ,D       ,,
2721728165,10,3800004991,3405,3400,ZIM,66.83,CS,EF,Deployment: Purchase requisition,20260208,20260214,0,0,,,,
2721728166,10,1862711668,8857,3400,ZIM,5760,CS,EF,Deployment: Purchase requisition,20251114,20251120,10,9570.078,ZNL  ,B       ,,
2721728167,10,1862711668,8857,3400,ZTL,2880,CS,EF,Deployment: Purchase requisition,20251114,20251117,10,9570.078,ZNL  ,B       ,,
2721728169,10,3800020653,3488,3400,ZIM,396,CS,EF,Deployment: Purchase requisition,20251031,20251106,45,436.278,UL   ,B       ,,
